Type,Al(ppm),Ti(ppm),Li(ppm),Ge(ppm),Sr(ppm)
greisen,64,0.3,1.82,1.41,0.17
greisen,34,1.37,5.53,2.23,0.52
greisen,46,0.68,3.52,1.55,0.33
greisen,82,0.3,2.86,1.23,0.27
greisen,21,0.53,1.45,1.22,0.14
greisen,111,0.3,16.4,1.75,0.11
greisen,161,0.3,11.7,1.72,0.11
greisen,74,0.3,0.41,1.05,0.13
greisen,58,1.38,1.27,0.92,0.27
greisen,20,0.3,1.5,1.04,0.1
greisen,45,0.3,0.35,1.24,0.15
greisen,91,10.9,8.8,1.83,0.12
greisen,60,8.27,11.8,1.67,0.08
greisen,89,8.97,3.1,1.29,0.22
greisen,100,10.5,5.7,1.99,0.43
greisen,96,11.2,3.5,1.75,0.52
greisen,77,10.3,6.3,1.72,0.2
greisen,32,1.14,5.3,1.77,0.26
greisen,42,1.61,8.9,1.67,0.11
greisen,63,2.93,6.2,1.72,0.15
greisen,90,1.31,10.7,1.46,0.11
greisen,96,1.39,3.7,2.27,2.5
greisen,45,0.78,2.6,1.39,1.3
greisen,17,0.53,3.2,1.45,0.83
greisen,79,10,16.6,1.83,0.14
greisen,49,0.56,6,0.86,0.12
greisen,67,1.07,9.89,0.45,0.11
greisen,65,1.65,1.99,1,0.08
greisen,52,0.44,0.59,1,0.06
greisen,41,1.31,0.37,1.25,0.04
greisen,45,1,1.53,1.33,0.07
greisen,53,0.75,0.48,1.13,0.11
greisen,34,1.28,2.39,1.47,0.07
greisen,30,1.21,1.16,1.29,0.06
greisen,19,0.68,0.6,1.02,0.06
greisen,53,0.33,0.98,0.88,0.06
greisen,43,0.6,0.91,0.91,0.1
greisen,43,0.89,0.94,0.93,0.09
greisen,8.9,0.27,1.86,0.33,0.06
greisen,45,0.77,1.96,0.33,0.06
greisen,33,0.52,2.21,0.81,0.06
greisen,54,0.77,3.31,1.01,0.05
greisen,49,0.67,0.62,0.84,0.06
greisen,38,0.83,2.64,1,0.08
greisen,104,1.33,3.04,1.09,0.04
greisen,90,1.04,2.04,1.15,0.06
greisen,30,0.38,1.93,0.7,0.27
greisen,33,1.18,0.58,1.45,0.09
greisen,40,1.71,2.01,1.81,0.06
greisen,32,2.82,1.99,1.78,0.06
greisen,114,9.4,7.26,2.19,0.05
greisen,121,0.86,22.2,1.87,0.05
greisen,61,1.85,16.7,1.66,0.06
greisen,76,2.26,12.9,1.95,0.05
greisen,79,1.91,12.8,2.11,0.06
greisen,71,1.96,9.98,1.99,0.05
greisen,121,10.6,15.8,2.09,0.05
greisen,91,14.7,8.32,2.35,0.06
greisen,64,1.29,2.78,1.53,0.05
greisen,41,1,0.64,1.36,0.13
greisen,39,0.46,1.17,1.33,0.15
greisen,36,0.29,0.55,0.76,0.08
greisen,105,9.91,2.48,1.9,0.07
greisen,118,11.9,3.01,2.66,0.07
greisen,118,12.4,2.67,2.4,0.07
greisen,98,10.7,3.41,2.16,0.1
greisen,32,0.94,1.58,1.73,0.06
greisen,27,0.8,0.13,1.5,0.06
greisen,36,1.23,0.71,1.62,0.05
greisen,33,0.81,4.16,1.34,0.04
greisen,41,1.08,2.26,1.48,0.04
greisen,38,0.99,0.88,1.6,0.04
greisen,78,0.23,0.4,1.22,0.08
