Type,Al(ppm),Ti(ppm),Li(ppm),Ge(ppm),Sr(ppm)
carlin,883.6446048,0.294249262,31.50898058,2.131654885,0.055409358
carlin,840.6951254,0.366793392,24.64910619,2.17493935,0.009728668
carlin,895.1961024,0.442239575,35.72188143,2.466732695,0.022401733
carlin,920.2431317,0.53251604,28.80132902,2.868599418,0.023697541
carlin,821.343704,0.35565258,31.29189906,1.789586948,0.063945297
carlin,402.5291182,0.106899915,14.09634837,0.997231389,0.154480354
carlin,1224.261896,1.533187086,28.25427987,3.011348138,0.043807713
carlin,872.5956157,0.432931154,25.70262152,2.788672869,0.001492286
carlin,929.9504612,0.88672897,22.33179366,3.332980491,0.000671697
carlin,932.2083136,0.7358689,21.40395394,3.670288825,0.002424504
carlin,886.7519223,0.421675927,31.70355376,2.853949795,0.008946565
carlin,803.6441146,0.78811079,24.97261562,4.182935591,0.004155
carlin,790.9945253,0.703944274,14.46724569,3.888068481,0.016997714
carlin,723.0224687,0.792752739,11.59991811,4.038739528,0.01996666
carlin,991.0141687,0.493384001,24.877609,2.750826438,0.003028029
carlin,1098.639887,1.058688867,26.66437176,3.582127014,0.016677282
carlin,720.8289332,0.231882057,42.14718888,2.066364949,0.001989619
carlin,733.2403629,0.479921518,38.43256001,3.164980326,0.000780557
carlin,730.4589233,0.681704994,36.97495468,3.57036403,0.010311514
carlin,1110.121206,0.928893264,59.99459738,3.125821099,0.006419117
carlin,793.8592776,0.345568559,27.59954599,2.052924766,0.012196138
carlin,658.7007396,0.591492386,20.34303653,3.072299038,0.005474415
carlin,2577.358912,0.136504295,51.15871157,3.638665639,0.11558831
carlin,2744.73909,0.204568119,41.21436266,1.86981827,0.004211933
carlin,2331.542301,0.267888161,71.24434685,8.478314474,0.005485153
carlin,2449.517151,0.617472167,91.94652666,11.68519061,0.016698583
carlin,2419.931753,0.506673114,96.61636885,11.99106223,0.020231773
carlin,2411.591045,0.550410587,92.89874269,12.5993187,0.018945632
carlin,2339.940841,0.606773828,89.61760635,12.05605611,0.011680899
carlin,2495.644797,0.756406603,84.57649434,9.755143479,0.026466736
carlin,2342.484083,0.864659629,75.82283418,10.36690596,0.034861701
carlin,2096.337936,0.762560012,62.21146974,12.2333653,0.481963467
carlin,3105.098543,0.053317374,42.31089491,0.790418499,0.002338915
carlin,2699.687366,0.095903463,109.3040224,1.686615034,0.005197402
carlin,2574.270718,0.071706044,124.9896058,6.278502122,0.01207749
carlin,2177.32127,0.421445069,82.12378536,10.34940585,0.025311099
carlin,2375.898105,0.683063708,103.1100941,10.07513678,0.031632618
carlin,2417.980211,0.667001091,96.92417403,9.633037137,0.028591518
carlin,2315.875483,0.126222986,62.54802602,4.775281357,0.004382369
carlin,2425.395725,0.08864655,33.13519271,2.546432732,0.037220544
carlin,2909.378104,0.005279828,36.17508592,1.85274106,0.015319418
porphyry,118.2503,40.58,0.23,1.305,0.1128
porphyry,175.6265,39.81,0.16,1.407,0.1028
porphyry,158.28,43.91,0.318,1.11,0.0382
porphyry,86.3892,35.45,0.341,1.39,0.0788
porphyry,96.0768,36.29,0.303,1.43,0.067
porphyry,120.951,37.14,0.42,1.043,0.0293
porphyry,81.864,31.4,0.559,1.21,0.082
porphyry,100.7208,35.05,0.386,1.33,0.162
porphyry,61.992,31.85,0.176,1.66,0.0672
porphyry,83.3544,40.1,0.117,1.53,0.0367
porphyry,61.7652,38.19,0.167,1.36,0.0341
porphyry,91.8864,37.87,0.185,1.501,0.0461
porphyry,69.61,45.61,0.132,2.92,0.038
porphyry,67.59,33.7,0.1,2.84,1.402
porphyry,85.8,26.75,0.173,1.69,0.0586
porphyry,53.08,33.74,0.088,1.59,0.0211
porphyry,60.91,30.56,0.202,1.96,0.501
porphyry,71.85,52.68,0.212,1.04,0.0505
porphyry,77.11,88.52,0.102,1.36,0.16
porphyry,129.13,88.66,0.29,2.08,0.473
porphyry,117.86,64.45,0.322,1.07,0.057
porphyry,99.16,42.6,0.214,1.29,0.199
porphyry,69.94,38.8,0.529,1.69,0.0312
porphyry,88.3728,56.14,0.662,2.11,0.641
porphyry,92.8583,38.71,0.586,1.71,1.096
porphyry,98.1654,48.77,0.77,1.51,0.255
porphyry,99.1914,37.63,0.699,1.84,1.014
porphyry,87.8074,37.79,0.757,1.54,0.976
porphyry,70.11,37.11,0.771,1.95,0.252
porphyry,65.6754,46.38,0.841,1.496,0.19
porphyry,73.4388,45.08,0.783,1.275,0.288
porphyry,98.8038,24.37,0.799,1,0.427
porphyry,85.0098,33.86,1.002,1.92,0.171
porphyry,60.9444,36.65,0.461,1.573,0.321
porphyry,78.9678,38.08,0.986,1.35,0.36
porphyry,86.0397,34.58,1.08,1.89,1.239
porphyry,67.0092,34.89,1.56,1.04,0.127
porphyry,80.1306,34.75,1.58,0.847,0.0424
porphyry,81.9318,54.74,0.105,1.36,0.176
porphyry,104.253,42.07,0.594,1.244,0.378
porphyry,109.1436,58.09,0.134,1.34,0.209
porphyry,73.5186,24.98,0.106,1.39,0.137
porphyry,56.6238,30.16,0.135,1.2,0.089
porphyry,74.4876,47.56,0.072,1.122,0.0878
porphyry,60.249,49,0.128,0.82,0.417
porphyry,101.949,34.75,0.157,1.66,0.349
porphyry,84.0864,25.31,0.104,1.219,0.277
porphyry,91.2228,25.35,0.3,1.55,0.124
porphyry,117.534,54.95,0.099,0.988,0.265
porphyry,73.587,27.39,0.14,0.91,0.0225
porphyry,108.88,54.07,0.191,1.47,0.381
porphyry,91.95,61.93,0.55,1.64,0.077
porphyry,119.51,78.97,0.222,1.63,0.139
porphyry,126.11,38.14,0.356,1.32,0.08
porphyry,155.63,40.71,0.128,1.33,0.096
porphyry,144.66,57.34,0.389,1.23,0.131
porphyry,80.26,54.19,0.289,1.48,0.126
porphyry,66.23,42.25,0.182,1.14,0.0409
porphyry,79.82,51.45,0.157,1.24,0.096
porphyry,170.18,38.79,0.21,2.92,0.034
porphyry,89.2,41.19,0.63,1.46,0.201
porphyry,129.34,40.47,0.267,2.18,0.503
porphyry,80.95,30.94,0.125,1.18,0.0872
porphyry,113.69,66.22,0.409,1.064,0.0268
porphyry,79.3,52.39,0.237,1.56,0.0719
porphyry,91.06,55.44,0.126,1.17,0.0268
porphyry,120.13,62.65,0.79,1.05,0.0257
porphyry,96.89,67.81,0.181,0.9,0.0425
porphyry,112.09,57.28,0.19,1.26,0.0336
porphyry,66.14,38.97,0.251,1.32,0.02
porphyry,89.36,49.05,0.137,1.25,0.128
porphyry,57.22,47.28,0.151,1.09,0.091
porphyry,58.4668,15.71,0.272,1.88,0.085
porphyry,47.5076,14.1,0.18,1.82,0.0262
porphyry,59.1052,10.33,0.23,2.02,0.298
porphyry,43.092,16.25,0.15,1.94,0.211
porphyry,49.1834,18.41,0.125,1.38,0.157
porphyry,62.0312,33.04,0.167,1.64,0.235
porphyry,55.4477,22.95,0.154,1.7,0.088
porphyry,108.3551,15.35,0.39,1.61,0.109
porphyry,51.5109,16.35,0.29,1.24,0.055
porphyry,60.7943,20.48,0.175,1.88,0.115
porphyry,82.3403,22.97,0.139,1.53,0.0203
porphyry,79.5074,16.16,0.722,1.44,0.078
porphyry,80.465,16.61,0.413,1.54,0.242
porphyry,85.0269,11.82,0.31,1.7,0.215
porphyry,57.057,15.17,0.17,1.11,1.083
porphyry,65.9547,15.36,0.379,1.36,0.058
porphyry,118.5429,14.68,0.44,1.82,0.08
porphyry,79.2528,22.55,0.546,1.79,0.303
porphyry,88.293,15.93,1.09,2.67,0.099
porphyry,69.0042,12.11,0.406,2.22,0.403
porphyry,72.4698,18.73,0.678,2.49,2.156
porphyry,78.6486,19.78,0.614,2.17,1.585
porphyry,82.137,24.79,1.56,1.9,0.369
porphyry,84.417,26.73,2,1.82,0.397
porphyry,73.5528,22.88,0.731,1.341,0.276
porphyry,68.0124,25.84,0.904,1.87,0.315
porphyry,74.4192,21.94,0.874,1.9,0.191
porphyry,76.9386,26.81,0.867,1.74,0.228
porphyry,101.0268,24.18,0.737,1.606,0.344
porphyry,81.8976,27.37,0.705,1.63,0.359
porphyry,60.876,17.48,0.99,2.53,0.111
porphyry,135.5232,15.53,1.08,2.59,0.262
porphyry,93.1152,20.13,0.554,1.92,0.23
porphyry,79.4922,23.32,0.49,1.42,0.384
porphyry,83.6304,22.19,0.878,1.27,0.138
porphyry,64.2276,24.66,0.354,1.73,0.434
porphyry,68.0808,22.78,0.615,2.57,0.479
porphyry,85.02,35.41,0.152,1.31,0.093
porphyry,99.8,64.41,0.342,1.03,0.0318
porphyry,89.22,57.95,0.142,0.7,0.151
porphyry,95,39.6,0.362,1.15,0.0533
porphyry,75.46,38.63,0.092,1.27,0.0154
porphyry,95.09,43.76,0.128,1.43,0.082
porphyry,73.11,38.49,0.35,0.8,0.0077
porphyry,79.09,41.98,0.43,1.54,0.0277
porphyry,40.5251,15.67,0.418,1.36,0.0752
porphyry,55.8467,16.28,0.675,1.24,0.12
porphyry,36.3622,18.17,0.44,1.29,0.115
porphyry,41.762,15.2,0.208,1.96,0.265
porphyry,43.2915,14.73,0.392,0.76,0.0579
porphyry,47.4411,14.71,0.8,1.87,0.123
porphyry,56.7245,24.83,0.227,1.29,0.124
porphyry,68.5216,19.23,0.9,1.25,0.2
porphyry,85.4392,17.44,0.626,1.97,0.167
porphyry,69.0536,14.19,0.53,1.04,0.535
porphyry,60.7411,11.37,0.215,1.78,0.152
porphyry,54.1975,11.73,0.385,1.33,0.273
porphyry,49.7154,24.59,0.514,2.8,0.086
porphyry,56.525,12.45,0.379,1.85,0.091
porphyry,77.1932,26.54,0.31,3.24,0.197
porphyry,57.419,16.86,0.483,1.22,0.935
porphyry,69.3316,18.02,0.67,1.76,0.993
porphyry,50.4912,14.66,0.84,1.86,0.277
porphyry,51.0138,18.43,0.615,2.21,0.359
porphyry,88.44,19.25,1.93,1.94,0.265
porphyry,90.852,15.82,0.49,2.02,1.03
porphyry,79.9176,18.08,1.51,1.57,1.31
porphyry,40.4278,14.62,0.419,2.14,0.063
porphyry,60.9566,11.93,1.49,3.3,0.37
porphyry,111.7158,32.02,0.634,0.99,2.27
porphyry,60.1258,14.84,0.82,2.33,0.07
porphyry,52.93,13.62,1.17,1.54,0.0395
porphyry,56.9902,14.99,0.709,2.19,0.308
porphyry,114.7174,17.94,2.67,2.13,0.438
porphyry,48.0926,11.27,1.2,2.44,0.342
porphyry,64.6818,16.16,0.3,2.24,0.557
porphyry,46.1094,18.72,0.701,1.39,0.179
porphyry,149.5574,16.39,3.52,2.58,0.613
porphyry,65.3116,12.66,0.463,2.72,0.684
porphyry,113.5872,12.25,1.39,1.7,0.057
porphyry,48.8784,7.17,1.255,1.32,0.093
porphyry,79.6416,7.28,1.375,1.7,0.0364
porphyry,85.4964,8.53,1.367,2.47,0.0975
porphyry,76.2246,4.39,1.13,2.08,0.632
porphyry,81.1614,2.42,1.36,2.68,0.0213
porphyry,218.8614,4.6,1.88,5.32,0.0137
porphyry,64.6161,8.65,1.68,2.17,0.0199
porphyry,89.6292,9.89,3.52,1.42,0.0415
porphyry,130.806,8.32,3.14,1.46,0.0318
porphyry,43.0344,5.92,1.42,1.52,0.044
porphyry,88.0812,5.45,2.25,1.54,0.089
porphyry,81.3087,4.13,1.53,2.26,0.312
porphyry,70.1244,8.44,1.18,2.28,0.0448
porphyry,78.1611,7.46,2.66,1.75,0.0307
porphyry,90.1323,6.88,3.09,2.27,0.0437
porphyry,58.0482,6.19,2.18,2.03,0.0224
porphyry,92.0856,7.75,4.71,1.58,0.01
porphyry,36.1386,4.62,1.475,1.98,0.0164
porphyry,68.0442,5.49,2.43,1.396,0.0157
porphyry,90.3822,8.78,0.78,1.62,0.061
porphyry,132.7734,4.16,1.54,3.27,0.034
porphyry,172.584,3.31,2.79,4.55,0.0292
porphyry,193.7128,5.79,1.649,3.03,0.0292
porphyry,300.9728,4.58,1.901,2.91,0.0534
porphyry,80.4264,4.17,1.864,1.544,0.0551
porphyry,104.3956,8.8,2.41,2.41,0.0433
porphyry,92.256,8.37,1.12,1.88,0.086
porphyry,50.6416,6.57,0.66,2.32,0.16
porphyry,225.5188,10.9,2.49,2.08,0.204
porphyry,60.574,5.06,1.29,1.79,0.061
porphyry,119.336,8.23,1.65,2.52,0.0461
porphyry,49.1536,5.12,0.466,2.78,0.059
porphyry,55.8992,6.45,1.228,2.11,0.0167
porphyry,302.684,9.48,1.014,1.67,0.0455
porphyry,184.3136,8.54,1.54,1.87,0.0237
porphyry,173.662,8.07,2.41,2.86,0.066
porphyry,247.1196,8.39,0.997,3.02,0.04
porphyry,126.6908,5.16,0.642,3.62,0.056
porphyry,155.6055,2.13,6.67,1.48,0.1
porphyry,189.32346,4.07,9.09,1.33,0.0152
porphyry,151.19496,3.29,6.66,1.21,0.025
porphyry,248.30928,3.3,13.36,1.79,0.0064
porphyry,160.04352,4.6,7.07,1.63,0.0624
porphyry,179.82912,2.51,3.78,2.48,0.287
porphyry,77.98824,2.33,2.87,1.23,0.0513
porphyry,122.31348,2.35,4.05,1.92,0.017
porphyry,93.69306,3,3.19,1.53,0.035
porphyry,114.99006,2.26,5.02,1.43,0.0065
porphyry,144.6135,2.5,5.14,2.52,0.0373
porphyry,128.99112,1.54,6.1,2.23,0.006
porphyry,145.46538,2.13,7.08,1.24,0.0037
porphyry,187.66092,3.36,8.62,1.55,0.127
porphyry,143.7891,2.34,3.02,3.71,0.249
porphyry,94.61364,3.28,3.74,1.64,0.0327
porphyry,156.88332,3.14,3.67,1.28,0.0436
porphyry,99.43638,2.5,2.52,1.52,0.0552
porphyry,59.1213,1.69,1.91,2.37,0.0106
porphyry,113.4063,2.41,2.69,3.89,0.067
porphyry,110.5299,1.81,3.99,3.11,0.016
porphyry,76.6758,4.39,1.1,2.35,0.144
porphyry,68.4696,4.5,1.54,2.51,0.0326
porphyry,109.3737,3.62,2.65,2.15,0.0073
porphyry,62.0796,6.12,0.844,2,0.0496
porphyry,109.296,7.09,2.77,2.51,0.0368
porphyry,180.7476,7.95,3.79,1.77,0.0542
porphyry,137.5968,6.74,4.96,1.73,0.0444
porphyry,104.016,5.53,1.37,2.15,0.0567
porphyry,112.6488,8.76,2.96,2.18,0.017
porphyry,151.7868,8.76,2.334,2.08,0.0573
porphyry,127.71,4.65,1.033,2.77,0.19
porphyry,193.8156,6.11,1.29,2.6,0.358
porphyry,117.1104,5.07,1.213,2.27,0.101
porphyry,58.3044,6.32,1.006,1.628,0.0238
porphyry,259.38,9.73,1.231,5.64,0.168
porphyry,191.1492,6.2,0.911,1.94,0.288
porphyry,75.108,7.37,2,1.34,0.024
porphyry,67.7952,5.16,1.583,1.424,0.0306
porphyry,86.6184,5.46,1.621,1.843,0.0419
porphyry,76.6392,4.83,1.365,2.01,0.016
porphyry,108.2928,6.18,1.445,2.56,0.0561
porphyry,105.9828,4.98,1.131,2.13,0.0206
porphyry,66.1848,5.11,1.056,1.78,0.0093
porphyry,56.7,29.4,6.07,1.29,0.01
porphyry,56.1,32.5,6.26,1.1,0.01
porphyry,101,34.6,3.11,1.18,0.98
porphyry,60.5,27.9,6.82,1.21,0.01
porphyry,82.9,27,8.14,1.17,0.07
porphyry,55.9,31.4,5.73,0.82,0.01
porphyry,49.9,32.6,3.61,1.1,0.01
porphyry,49.9,36.3,2.85,0.95,0.03
porphyry,97.5,25,6.78,0.82,0.12
porphyry,105,21.4,7.77,1.98,0.03
porphyry,95.3,24.2,5.79,1.9,0.02
granite,581.95,9.63,63,1.815,0.2178
granite,553.75,10.27,63.3,1.867,0.0229
granite,655.09,10.63,73.69,1.773,0.0862
granite,390.33,8.95,40.92,1.905,0.0703
granite,591.51,11.08,59.45,1.944,0.085
granite,764.74,8.82,78.73,1.949,0.0502
granite,780.59,10.2,80.59,2.044,0.078
granite,749.44,11.06,78.66,1.911,0.1291
granite,465.39,11.19,44.17,1.906,0.0651
granite,887.82,11.87,80.36,1.931,0.0571
granite,627.23,11.08,64.23,1.956,0.1168
granite,753.68,10.06,71.23,1.865,0.0721
granite,807.39,11.95,78.77,2.143,0.0695
granite,783.24,8.69,76.22,1.871,0.0788
granite,744.98,9.49,96.43,2.28,0.0708
granite,772.44,8.78,92.2,1.9,0.0692
granite,685.77,11.37,94.04,1.92,0.121
granite,802.56,15.76,87.28,2.17,0.102
granite,731.7,15.3,76.99,2.16,0.0747
granite,726.89,15.29,83.38,2.41,0.089
granite,837.02,13.44,89.59,2.17,0.12
granite,761.88,13.34,85.97,2.26,0.113
granite,712.77,16.46,87.93,2.35,0.144
granite,813.87,7.53,120.32,1.98,0.0949
granite,810.83,13.49,94.39,1.81,0.01
granite,664.07,7.2,83.84,2.16,0.01
granite,736,16.16,96.14,2.09,0.0836
granite,888.74,6.69,99.83,2.07,0.0446
granite,667.9,10.93,74.53,2.2,0.143
granite,741.32,11.92,80.22,1.99,0.121
granite,830.79,7.75,89.69,1.83,0.0558
granite,727.53,13.95,89,1.93,0.01
granite,804.86,8.54,91.06,1.77,0.079
granite,615.25,14.99,66.82,2.14,0.083
granite,519.72,13.46,51.44,1.59,0.0814
granite,673.2,8.85,82.23,2.08,0.0226
granite,810,9.33,93.77,1.85,0.0809
granite,763.64,17.23,94.79,1.96,0.113
granite,733.9,16.95,78.12,2.12,0.079
granite,656.25,15,71.47,1.91,0.145
granite,885.76,5.75,153.22,1.779,0.1187
granite,862.44,5.04,143.53,2.023,0.0518
granite,847.8,4.09,115.47,1.763,0.0204
granite,866.25,4.64,125.66,1.832,0.0723
granite,759.71,3.55,114.3,1.765,0.1337
granite,986.45,5.18,162.06,2.165,0.0915
granite,808.22,6.7,134.3,2.15,0.0733
granite,791.13,6.38,128.66,2.027,0.1218
granite,871.89,4.56,102.6,1.67,0.0691
granite,806.23,4.29,100.61,1.541,0.0263
granite,904.22,8.08,151.62,2.017,0.0831
granite,910.39,9.8,105.86,1.997,0.233
granite,807.69,8.53,114.1,2.08,0.0631
granite,760.45,5.85,109.39,1.699,0.077
granite,877.52,10.18,137.12,2.06,0.0585
granite,770.79,5.61,97.46,1.784,0.0877
greisen,2710.18,7.14,317.46,2.53,0.0134
greisen,3522.07,8.01,386.13,3.06,0.0245
greisen,2564.34,5.67,270.88,1.39,0.0284
greisen,3021.08,7.15,323.01,2.74,0.0217
greisen,2993.61,7.87,321.79,1.966,0.01
greisen,2487.69,6.77,277.79,2.63,0.0153
greisen,756.25,6.05,157.4,1.94,0.0206
greisen,681.44,7.12,124.41,2.5,0.0267
greisen,574.23,6.7,87.77,1.7,0.0262
greisen,1069.23,6.75,216.46,1.99,0.0404
greisen,492.98,5.91,83.31,1.407,0.0375
greisen,280.09,5.97,66.27,1.29,0.0471
greisen,3444.49,4.14,677.2,11.95,0.038
greisen,3876.01,4.12,713.94,11.46,0.0195
greisen,3625.15,4.13,669.89,12.32,0.01
greisen,4205.08,3.88,786.9,6.72,0.0144
greisen,3891.96,4.01,718.81,11.47,0.0117
greisen,3792.53,4.43,704.54,11.21,0.0127
greisen,3614.98,3.95,709.34,8.86,0.0153
greisen,3860.44,3.35,661.06,8.62,0.0211
greisen,4101.56,3.39,652.65,6.14,0.0119
greisen,3249.41,3.75,582.84,4.32,0.0376
greisen,504.35,2.95,87.96,1.5,0.01
greisen,839.44,3.68,193.95,2.07,0.0249
greisen,651.38,3.06,178.9,1.91,0.0463
greisen,891.87,3.43,213.99,1.95,0.0749
greisen,407.54,3.36,113.3,1.96,0.0214
greisen,2478.38,3.58,397.3,5.29,0.01
greisen,2222.01,1,353.12,3.36,0.0126
greisen,2167.48,1.69,327.98,3.29,0.01
greisen,1864.56,2.5,314.6,2.79,0.01
greisen,3563.07,3.74,422.17,4.72,0.0222
greisen,962.01,2.54,134.77,1.302,0.0305
greisen,1365.85,4,198.76,2.38,0.01
greisen,2669.68,4.14,402.4,4.96,0.01
greisen,425.74,1.71,86.05,3.28,0.01
greisen,727.77,4.7,97.39,3.34,0.0854
greisen,601.84,1.62,93.39,4.05,0.0493
greisen,662.76,3.32,135.45,4.12,0.0309
greisen,590.86,2.36,94.47,4.26,0.0367
greisen,2277.7,5.09,282.66,11.91,0.157
greisen,2935.74,3.19,290.45,9.66,0.0377
greisen,2272.42,6.21,295.13,3.66,0.01
greisen,2067.84,7.13,252.01,4.57,0.01
greisen,509.91,4.6,81.62,2.47,0.01
greisen,1351.77,7.39,174.11,1.938,0.01
greisen,1629.06,5.99,210.67,2.34,0.0105
greisen,1744.52,4.37,232.18,2.37,0.0148
greisen,1689.58,5.78,218.21,2.65,0.01
porphyry,519.44,54.29,58.28,1.13,0.01
porphyry,406.37,42.95,47.52,1.096,0.0405
porphyry,336.05,27.42,37.05,1.268,0.0145
porphyry,460.15,42.91,52.83,1.307,0.0207
porphyry,409.36,35.42,50.58,1.415,0.0241
porphyry,432.43,31.15,46.96,1.275,0.029
porphyry,408,43.25,48.9,1.149,0.0144
porphyry,439.22,45.85,51.79,1.386,0.0158
porphyry,399.4,47.02,52.87,1.343,0.0597
porphyry,443.58,51.73,53.82,1.153,0.01
porphyry,556.95,37.82,100.63,1.481,0.0295
porphyry,390.22,60.04,65.98,1.118,0.0273
porphyry,365.31,43.36,51.26,1.166,0.0261
porphyry,386.12,32.22,46.53,1.447,0.0303
porphyry,393.98,39.51,40.57,1.391,0.0232
porphyry,413.55,43.46,43.55,1.359,0.1087
porphyry,415.28,46.78,41.82,1.16,0.0267
porphyry,453.37,54.57,46.89,1.235,0.0304
porphyry,422.2,43.25,44.67,1.316,0.0721
porphyry,396.82,48,47.94,1.174,0.0211
porphyry,442.02,46.73,48.27,0.972,0.0295
porphyry,380.45,53.74,60.25,1.026,0.0446
porphyry,449.15,51.98,50.64,1.208,0.0207
porphyry,432.71,42.6,41.67,1.04,0.0317
porphyry,473.39,56.86,48.64,1.052,0.034
porphyry,432.48,43.51,46.22,1.075,0.0434
porphyry,389.18,43.85,44.91,1.299,0.0349
greisen,134.6,14.4,27.9,0.9,0.07
greisen,130.3,14,24.9,1,0.08
greisen,208.5,15.1,23.5,0.8,0.06
greisen,147.8,6.6,10.8,1.9,0.05
greisen,304.9,3.9,17.5,2.3,0.1
greisen,387.2,3.1,27.2,1.7,0.05
greisen,59.5,6.4,1.7,1,0.07
greisen,130,1.9,6.4,0.7,0.06
greisen,107.5,0.8,3.7,0.7,0.22
greisen,309.8,4.8,4.6,1.9,0.06
greisen,116.8,4.8,6.9,1.1,0.05
greisen,410.1,5.5,14.4,1.6,0.06
greisen,82.8,3.8,2,2.2,0.05
greisen,347.6,3.6,15.9,1.8,0.04
greisen,84.2,4.4,3.9,1.5,0.05
greisen,437.2,5.8,13.8,1.4,0.08
greisen,371.4,5.6,27.3,1.6,0.82
greisen,560.9,5.3,27.5,1.7,0.07
greisen,33,2.4,4.7,0.1,0.04
greisen,29.2,2.7,2,0.1,0.35
greisen,69.3,0.6,14,0.8,0.07
greisen,103.2,0.9,33.1,0.9,0.04
greisen,35.8,4,3.3,0.1,0.04
greisen,45.1,2.5,1.7,0.1,0.07
greisen,45.1,2.1,2.6,0.1,0.12
greisen,141.1,5.9,3.2,0.1,0.31
greisen,63.6,1.5,3.6,0.6,0.12
greisen,76.6,5.2,3.4,0.3,0.06
greisen,58.9,1.5,2.1,1.5,0.05
greisen,82.3,10.2,2.1,2,0.05
greisen,112.6,13.1,2.5,2.2,0.08
greisen,78.7,10.9,9.7,2.2,0.08
greisen,116.3,11.6,2,1.8,0.04
greisen,130.7,12.4,1.8,2,0.05
greisen,94.2,10.1,3.1,2,0.03
greisen,151.4,8,2.7,2.1,0.08
greisen,179.4,9.4,3.3,2.5,0.22
greisen,80.7,6.6,0.3,1.9,0.02
greisen,10.2,1.2,0.6,0.9,0.06
greisen,37,2.1,1.4,0.2,0.04
greisen,8.2,1.5,1.4,1.9,0.08
greisen,150.5,4,20.7,1.1,0.07
greisen,187.7,0.8,27.9,1.7,0.06
greisen,93,2.9,9.3,0.8,0.02
greisen,136.4,0.9,36.1,1.3,0.05
greisen,165.9,1.6,34.9,1.7,0.05
greisen,148.7,1.6,24.1,1,0.07
greisen,112.5,2.9,35.6,1.4,0.06
greisen,41.5,2.7,0.7,0.8,0.04
greisen,88.1,2.7,1.6,0.9,0.04
greisen,119.3,0.8,9.3,1.7,0.09
greisen,154,1.1,7.5,1.9,0.54
greisen,172.3,2.8,36.1,2.4,0.05
greisen,132.7,2.7,32.2,2.2,0.05
greisen,186.2,2.2,23.5,2,0.03
greisen,63.2,0.9,1,0.6,0.08
greisen,74.5,1.4,9.8,0.7,0.07
greisen,28.1,0.7,4,0.7,0.06
greisen,55.9,1,4.2,0.8,0.06
greisen,52.5,0.4,5.3,0.9,0.05
greisen,30.9,1.2,4.7,1.1,0.07
greisen,136.1,0.6,8.6,1.3,0.06
greisen,110.5,2,10.4,0.4,0.04
greisen,104.7,0.8,10.9,0.5,0.05
greisen,101.4,1.8,16.8,0.6,0.07
greisen,102.9,1.5,12.6,0.6,0.05
greisen,90.9,1.6,5.8,1,0.09
greisen,139.2,0.9,4,1.4,0.09
greisen,121,1.2,6.9,1.3,0.06
greisen,51.3,0.7,5.3,0.9,1.15
greisen,84.4,2.8,1.7,1.5,0.04
greisen,137.3,1.5,9.2,1.9,0.07
greisen,123.8,4.1,4.8,1.8,0.05
greisen,70.8,4.4,7.4,1.5,0.04
greisen,95.8,4.4,5.4,1.5,0.07
greisen,68.3,0.8,6.6,1,0.06
greisen,74.2,0.9,7.2,1,0.05
greisen,30.2,0.7,2.5,1,0.05
greisen,81.9,2.6,6.7,1.7,0.05
greisen,81.2,1.7,5.3,1.5,0.12
greisen,310,6.3,8.2,1.7,0.03
greisen,188.9,4.5,1.6,1.8,0.06
greisen,310.1,5.6,4.3,1.6,0.04
greisen,95.6,6.9,14.3,1.8,0.06
greisen,330.4,6.3,8.4,2.1,0.08
greisen,90.7,6,7.8,1.6,0.14
greisen,233.2,3.3,7.6,1.2,0.1
greisen,97.4,5.9,13.3,1.6,0.06
granite,158.1,70.35,1.08,0.57,0.63
granite,303.06,88.84,0.5,1.12,1.68
granite,480.73,42,0.72,0.76,3.25
granite,480.73,42,0.72,0.76,3.25
granite,443.99,47.32,0.53,0.63,1.79
granite,366.62,84.65,0.72,0.56,4.63
granite,198.49,59.8,2.64,0.68,3.4
granite,342.42,82.43,0.39,0.61,2.49
granite,352.47,60.59,1.17,0.66,2.8
granite,336.96,75.71,0.35,0.62,1.98
IRG,360.82,14.43,0.5,4.56,1.57
IRG,418.96,14.61,0.67,3.85,1.31
IRG,397.55,14.63,0.69,4,1.43
IRG,261.07,11.7,0.75,4.63,1.47
IRG,530.94,17.34,0.55,4.25,2.27
IRG,587.17,18.25,0.53,4.32,2.42
IRG,191.42,13.11,0.72,2.54,1.01
IRG,308.45,24.49,0.5,2.37,1.27
IRG,295,22.27,0.4,2.51,1.17
IRG,270.87,21.79,0.5,2.39,1.14
IRG,434.79,26.57,0.67,1.59,5.97
IRG,382.59,20.79,0.71,1.52,4.74
IRG,343.28,28.87,0.63,1.78,2.9
IRG,443.21,32.71,0.66,2.26,2.98
IRG,378.52,27.97,0.64,1.61,3.06
IRG,357.18,34.88,0.85,2.47,8.36
IRG,184.92,27.96,0.93,1.74,1.13
IRG,214.71,25.65,0.36,2.04,2.53
IRG,178.46,12.82,1.44,1.91,3.62
IRG,217.59,10.98,1.98,3.7,4.25
IRG,257.74,11.3,2.43,2.16,1.82
IRG,239.88,18.85,0.93,2.3,3.31
IRG,196.57,18.55,0.56,2.39,1.11
IRG,302.74,19.28,0.57,2.19,3.12
IRG,234.56,15.6,3.21,3.2,2.04
IRG,204.93,16.54,0.54,2.03,1.76
IRG,253.28,14.51,0.59,1.8,2.93
IRG,211.09,15.06,0.51,1.76,2.24
IRG,262.58,14.56,0.62,1.8,3.09
